date,student_id,status
2025-09-18,1,Present
2025-09-18,2,Absent
2025-09-18,3,Present
2025-09-18,4,Present
2025-09-18,5,Absent
2025-09-18,6,Present
2025-09-18,7,Absent
2025-09-18,8,Present
2025-09-18,9,Present
2025-09-18,10,Present
2025-09-18,11,Absent
2025-09-18,12,Present
2025-09-18,13,Present
2025-09-18,14,Absent
2025-09-18,15,Present
2025-09-18,16,Present
2025-09-18,17,Absent
2025-09-18,18,Present
2025-09-18,19,Present
2025-09-18,20,Absent
2025-09-19,1,Present
2025-09-19,2,Present
2025-09-19,3,Absent
2025-09-19,4,Present
2025-09-19,5,Present
2025-09-19,6,Absent
2025-09-19,7,Present
2025-09-19,8,Present
2025-09-19,9,Absent
2025-09-19,10,Present
2025-09-19,11,Present
2025-09-19,12,Absent
2025-09-19,13,Present
2025-09-19,14,Present
2025-09-19,15,Absent
2025-09-19,16,Present
2025-09-19,17,Present
2025-09-19,18,Present
2025-09-19,19,Absent
2025-09-19,20,Present
2025-09-20,1,Absent
2025-09-20,2,Present
2025-09-20,3,Present
2025-09-20,4,Absent
2025-09-20,5,Present
2025-09-20,6,Present
2025-09-20,7,Present
2025-09-20,8,Absent
2025-09-20,9,Present
2025-09-20,10,Present
2025-09-20,11,Present
2025-09-20,12,Absent
2025-09-20,13,Present
2025-09-20,14,Present
2025-09-20,15,Present
2025-09-20,16,Absent
2025-09-20,17,Present
2025-09-20,18,Present
2025-09-20,19,Present
2025-09-20,20,Absent
